year,region,country,Life_exp,BMI,Alcohol,HIV,Polio,Fertility
2005,Africa,Uganda,53.2,14.5,10.09,8.7,59,6.583
2005,Africa,Nigeria,49.2,19.3,9.71,5.4,45,5.985
2005,Africa,South Africa,53.8,43.6,8.69,29.5,75,2.677
2005,Africa,Seychelles,72.2,3.1,7.82,0.1,99,2.2
2005,Africa,Gabon,65,3.8,7.72,10.9,44,4.23
2005,Africa,Equatorial Guinea,54.4,2.2,7.19,4.9,5,5.559
2005,Africa,Rwanda,55.3,15.4,7.01,7.1,95,5.135
2005,Africa,Botswana,51.7,32.7,6.37,20.6,96,2.987
2005,Africa,Burundi,53.4,14.1,5.54,4.3,82,6.69
2005,Africa,Sao Tome and Principe,64.3,23.4,5.27,1.6,97,5.022
2005,Americas,Saint Lucia,73.1,39.6,12.32,0.2,95,
2005,Americas,Bahamas,74.1,58.1,10.49,0.1,93,
2005,Americas,Grenada,71.5,4.5,8.8,0.1,99,2.344
2005,Americas,United States of America,77.5,63.8,8.52,0.1,92,
2005,Americas,Antigua and Barbuda,74.6,41.4,8.15,0.1,98,2.224
2005,Americas,Barbados,73.9,46.9,8.01,0.1,91,1.759
2005,Americas,Canada,81,61.3,8,0.1,93,1.54
2005,Americas,Venezuela (Bolivarian Republic of),73.6,56.5,7.92,0.1,8,
2005,Americas,Chile,78.4,57.4,7.57,0.1,92,1.982
2005,Americas,Argentina,74.9,56.9,7.53,0.1,95,2.452
2005,Asia,Cyprus,78.7,55.3,11.41,0.1,98,1.52
2005,Asia,Japan,82,24.4,7.99,0.1,95,1.26
2005,Asia,Kazakhstan,64.6,46.3,6.94,0.1,99,2.22
2005,Asia,Thailand,72.5,22.6,6.26,0.5,98,1.568
2005,Asia,Georgia,73.9,48.6,4.7,0.1,82,1.664
2005,Asia,Armenia,73,48.8,4.25,0.1,92,1.681
2005,Asia,Philippines,67,2.1,4.22,0.1,9,3.503
2005,Asia,Lao People's Democratic Republic,61,14.9,3.68,0.2,5,
2005,Asia,China,73.9,24.1,2.92,0.1,87,1.565
2005,Asia,Turkmenistan,63.3,4.7,2.85,0.1,99,2.654
2005,Europe,Estonia,72.8,55.5,15.52,0.1,96,1.52
2005,Europe,Portugal,77.7,54.1,13.33,0.1,93,1.41
2005,Europe,Ireland,78.7,55.1,13.31,0.1,9,1.86
2005,Europe,Czechia,75.9,61.3,13.19,0.1,96,
2005,Europe,Hungary,72.9,58.8,12.94,0.1,99,1.31
2005,Europe,Austria,79.4,52.7,12.4,0.1,86,1.41
2005,Europe,Lithuania,78,58.4,12.3,0.1,93,1.29
2005,Europe,Belgium,78.9,6.2,12.27,0.1,97,1.76
2005,Europe,France,81,57.5,12.2,0.1,98,1.94
2005,Europe,United Kingdom of Great Britain and Northern Ireland,79,6.7,12.05,0.1,91,
2005,Oceania,Australia,81,61.5,10.3,0.1,92,1.807
2005,Oceania,New Zealand,79.9,62.1,9.31,0.1,89,1.97
2005,Oceania,Samoa,71.6,69.7,3.63,0.1,55,4.46
2005,Oceania,Fiji,68.3,55.1,2.02,0.1,97,2.86
2005,Oceania,Micronesia (Federated States of),67.9,63.6,1.9,0.1,94,
2005,Oceania,Tonga,72.3,69.4,1.57,0.1,9,4.144
2006,Africa,Uganda,54.9,14.8,9.81,8.6,62,6.507
2006,Africa,Nigeria,49.8,19.9,9.66,5.3,46,5.958
2006,Africa,South Africa,54,44.3,8.5,28.1,79,2.655
2006,Africa,Seychelles,72.2,3.7,8.12,0.1,99,2.11
2006,Africa,Gabon,61.4,31.4,8.01,10.7,44,4.194
2006,Africa,Equatorial Guinea,54.8,2.5,7.28,5.3,52,5.498
2006,Africa,Rwanda,57.6,15.9,6.88,6.2,99,5.021
2006,Africa,Botswana,54.8,33.2,6.45,14.4,96,2.946
2006,Africa,Angola,47.7,18.2,5.84,2.5,36,6.42
2006,Africa,Sao Tome and Principe,64.7,24,5.46,1.2,97,4.974
2006,Americas,Saint Lucia,73.5,4.4,13.45,0.1,85,
2006,Americas,Bahamas,74.2,58.7,11.07,0.1,94,
2006,Americas,Grenada,71.7,41.1,9.06,0.1,91,2.321
2006,Americas,Antigua and Barbuda,74.8,42,8.93,0.1,99,2.203
2006,Americas,United States of America,77.8,64.4,8.63,0.1,93,
2006,Americas,Barbados,74.1,47.7,8.39,0.1,85,1.763
2006,Americas,Venezuela (Bolivarian Republic of),73.6,57.1,8.27,0.1,73,
2006,Americas,Canada,85,61.9,8.2,0.1,95,1.5862
2006,Americas,Argentina,75.2,57.5,7.75,0.1,92,2.432
2006,Americas,Chile,78.9,58.1,7.33,0.1,94,1.964
2006,Asia,Cyprus,78.8,55.8,11.47,0.1,97,1.498
2006,Asia,Japan,82.4,24.9,7.49,0.1,95,1.32
2006,Asia,Kazakhstan,65,46.8,7.08,0.1,99,2.36
2006,Asia,Thailand,73,23.6,6.18,0.5,98,1.561
2006,Asia,Georgia,73.9,49.2,6.18,0.1,89,1.712
2006,Asia,Philippines,67.3,2.6,4.08,0.1,88,3.425
2006,Asia,Armenia,72.9,49.2,4.01,0.1,87,1.694
2006,Asia,Lao People's Democratic Republic,61.5,15.5,3.69,0.2,56,
2006,Asia,China,74.2,24.9,3.28,0.1,94,1.572
2006,Asia,Mongolia,65,43,2.91,0.1,98,2.239
2006,Europe,Estonia,73,55.9,16.58,0.1,95,1.58
2006,Europe,Ireland,79,55.8,13.44,0.1,91,1.91
2006,Europe,Hungary,73.4,59.3,13.16,0.1,99,1.34
2006,Europe,Portugal,78.5,54.9,13.11,0.1,97,1.37
2006,Europe,Czechia,76.5,61.8,13.03,0.1,98,
2006,Europe,Lithuania,76,58.7,12.7,0.1,94,1.33
2006,Europe,Belarus,68.9,57.2,12.6,0.1,97,1.335
2006,Europe,France,86,58,12.4,0.1,99,2
2006,Europe,Austria,79.8,53.2,12.4,0.1,83,1.41
2006,Europe,Slovenia,78.1,54.7,12.26,0.1,97,1.31
2006,Oceania,Australia,81.2,62,10.31,0.1,92,1.908
2006,Oceania,New Zealand,79.9,62.6,9.34,0.1,89,2.01
2006,Oceania,Samoa,72,7.3,3.52,0.1,37,4.46
2006,Oceania,Fiji,68.5,55.9,2.06,0.1,98,2.816
2006,Oceania,Tonga,72.4,7.1,1.79,0.1,89,4.104
2006,Oceania,Micronesia (Federated States of),68,64.1,1.73,0.1,81,
2006,Oceania,Vanuatu,71,45.7,1,0.1,67,3.76
2007,Africa,Uganda,55.5,15.2,9.65,8.4,7,6.424
2007,Africa,Nigeria,55,2.4,9.55,5.2,54,5.93
2007,Africa,Gabon,61.6,31.9,9.02,10,78,4.164
2007,Africa,South Africa,54.5,45,8.48,26.4,79,2.636
2007,Africa,Seychelles,72.2,31.2,8.12,0.1,99,2.24
2007,Africa,Equatorial Guinea,55,2.9,6.86,5.9,54,5.433
2007,Africa,Rwanda,59.6,16.5,6.78,5,98,4.9
2007,Africa,Angola,48.2,18.8,6.35,2.6,75,6.368
2007,Africa,Botswana,56.9,33.7,6.21,13.4,96,2.918
2007,Africa,Cameroon,53.6,24.4,5.44,7,81,5.266
2007,Americas,Saint Lucia,73.9,41.3,12.68,0.1,99,
2007,Americas,Bahamas,74.4,59.4,10.75,0.1,95,
2007,Americas,Grenada,71.9,41.8,9.06,0.1,96,2.301
2007,Americas,United States of America,78.1,65.1,8.74,0.1,93,
2007,Americas,Venezuela (Bolivarian Republic of),73.4,57.6,8.7,0.1,67,
2007,Americas,Antigua and Barbuda,75,42.6,8.64,0.1,98,2.183
2007,Americas,Barbados,74.2,48.4,8.47,0.1,93,1.768
2007,Americas,Canada,85,62.5,8.3,0.1,9,1.6589
2007,Americas,Argentina,74.8,58,8.16,0.1,92,2.413
2007,Americas,Chile,78.9,58.7,7.39,0.1,95,1.945
2007,Asia,Cyprus,78.9,56.3,11.56,0.1,97,1.479
2007,Asia,Georgia,74.4,49.9,8.65,0.1,88,1.766
2007,Asia,Kazakhstan,65.3,47.3,7.44,0.1,94,2.5
2007,Asia,Japan,82.6,25.4,7.29,0.1,97,1.34
2007,Asia,Thailand,73.3,24.6,6.2,0.4,98,1.557
2007,Asia,Lao People's Democratic Republic,62.1,16.1,5,0.2,46,
2007,Asia,Philippines,67.5,21.1,4.19,0.1,87,3.349
2007,Asia,Armenia,73.5,49.7,3.99,0.1,9,1.702
2007,Asia,China,74.4,25.7,3.88,0.1,94,1.577
2007,Asia,Mongolia,65.9,43.9,3.79,0.1,99,2.331
2007,Europe,Estonia,73,56.3,17.87,0.1,95,1.69
2007,Europe,Belarus,69.8,57.7,14.22,0.1,9,1.429
2007,Europe,Ireland,79.5,56.6,13.59,0.1,92,2.01
2007,Europe,Czechia,76.8,62.2,13.43,0.1,99,
2007,Europe,Lithuania,72,59,13.4,0.1,95,1.36
2007,Europe,Portugal,78.7,55.7,12.57,0.1,96,1.35
2007,Europe,Croatia,75.8,58.7,12.56,0.1,96,1.48
2007,Europe,Hungary,73.5,59.9,12.55,0.1,99,1.32
2007,Europe,Austria,81,53.7,12.5,0.1,85,1.38
2007,Europe,France,89,58.6,12.2,0.1,99,1.98
2007,Oceania,Australia,81.3,62.5,10.56,0.1,92,1.959
2007,Oceania,New Zealand,81,63.2,9.19,0.1,88,2.18
2007,Oceania,Samoa,72.2,7.9,3.85,0.1,49,4.45
2007,Oceania,Fiji,68.6,56.6,2.09,0.1,99,2.774
2007,Oceania,Tonga,72.5,7.8,2.05,0.1,88,4.059
2007,Oceania,Micronesia (Federated States of),68.2,64.7,1.64,0.1,79,
2007,Oceania,Vanuatu,73,46.6,1.01,0.1,67,3.679
2008,Africa,Uganda,56.3,15.6,9.79,8.2,69,6.337
2008,Africa,Nigeria,59,21,9.3,5,6,5.902
2008,Africa,Gabon,61.6,32.4,8.75,8.9,81,4.137
2008,Africa,Equatorial Guinea,55.4,21.3,8.34,6.3,55,5.363
2008,Africa,South Africa,55.3,45.7,8.19,23.5,77,2.619
2008,Africa,Angola,48.7,19.3,7.07,2.6,65,6.307
2008,Africa,Botswana,57.5,34.2,6.56,12.7,96,2.901
2008,Africa,Rwanda,68,17.1,6.39,3.7,97,4.774
2008,Africa,Seychelles,72.2,31.8,6.33,0.1,99,2.33
2008,Africa,Namibia,61.7,3.2,6.28,11.7,83,3.608
2008,Americas,Saint Lucia,74.1,42.2,12.09,0.1,96,
2008,Americas,Bahamas,74.5,6.1,10.15,0.1,93,
2008,Americas,Barbados,74.4,49.2,8.95,0.1,85,1.772
2008,Americas,Grenada,72.1,42.4,8.92,0.1,99,2.282
2008,Americas,United States of America,78.2,65.7,8.74,0.1,94,
2008,Americas,Argentina,75.4,58.6,8.41,0.1,94,2.396
2008,Americas,Canada,87,63,8.3,0.1,89,1.6808
2008,Americas,Antigua and Barbuda,75.2,43.2,8.27,0.1,99,2.164
2008,Americas,Venezuela (Bolivarian Republic of),73.2,58.2,8.18,0.1,76,
2008,Americas,Guyana,66.3,4.9,7.32,0.8,93,2.718
2008,Asia,Cyprus,79.1,56.8,12.01,0.1,97,1.461
2008,Asia,Kazakhstan,66.6,47.9,7.6,0.1,99,2.7
2008,Asia,Georgia,73.9,5.5,7.17,0.1,9,1.821
2008,Asia,Japan,82.7,25.9,7.11,0.1,98,1.37
2008,Asia,Thailand,73.5,25.7,5.92,0.3,99,1.553
2008,Asia,Lao People's Democratic Republic,62.6,16.7,5.1,0.2,6,
2008,Asia,China,74.5,26.5,4.27,0.1,99,1.581
2008,Asia,Mongolia,67.4,44.9,4.26,0.1,95,2.434
2008,Asia,Philippines,67.5,21.6,4.21,0.1,91,3.278
2008,Asia,Armenia,73.2,5.1,3.96,0.1,91,1.706
2008,Europe,Estonia,74.2,56.7,16.99,0.1,95,1.72
